province,population,population_density
Hà Nội,8435650,2511
Vĩnh Phúc,1197620,969
Bắc Ninh,1488200,1809
Quảng Ninh,1362880,220
Hải Dương,1946820,1167
Hải Phòng,2088020,1368
Hưng Yên,1290850,1388
Thái Bình,1878540,1185
Hà Nam,878000,1019
Nam Định,1876850,1125
Ninh Bình,1010700,716
Hà Giang,892720,113
Cao Bằng,543050,81
Bắc Kạn,324350,67
Tuyên Quang,805780,137
Lào Cai,770590,121
Yên Bái,847250,123
Thái Nguyên,1335990,379
Lạng Sơn,802090,97
Bắc Giang,1890930,485
Phú Thọ,1516920,429
Điện Biên,635920,67
Lai Châu,482100,53
Sơn La,1300130,92
Hòa Bình,875380,191
Thanh Hóa,3722060,335
Nghệ An,3419990,207
Hà Tĩnh,1323750,221
Quảng Bình,913860,114
Quảng Trị,650950,138
Thừa Thiên Huế,1160220,235
Đà Nẵng,1220190,950
Quảng Nam,1519380,144
Quảng Ngãi,1245650,242
Bình Định,1504290,248
Phú Yên,876620,174
Khánh Hòa,1253970,241
Ninh Thuận,598680,178
Bình Thuận,1252060,158
Kon Tum,579910,60
Gia Lai,1590980,103
Đắk Lắk,1918440,147
Đắk Nông,670560,103
Lâm Đồng,1332530,136
Bình Phước,103467,151
Tây Ninh,1188760,294
Bình Dương,2763120,1025
Đồng Nai,3255810,555
Bà Rịa Vũng Tàu,1178700,595
Hồ Chí Minh,9389720,4481
Long An,1734260,386
Tiền Giang,1785240,698
Bến Tre,129801,545
Trà Vinh,101926,426
Vĩnh Long,102882,674
Đồng Tháp,160017,473
An Giang,190552,539
Kiên Giang,1751760,276
Cần Thơ,1252350,869
Hậu Giang,729470,450
Sóc Trăng,1197820,363
Bạc Liêu,921810,346
Cà Mau,1207630,229
